CustomerID,IndustryRisk,FaceToFaceEstablished,CountryRisk,RelationshipLength
14117,0,0,0,7.0718685831622174
79573,0,1,0,7.915126625598905
79743,0,0,0,8.257357973990418
10001,0,0,0,1.7056810403832992
10008,0,0,0,1.6563997262149213
10010,0,0,0,8.635181382614647
10015,0,1,0,6.631074606433949
10016,1,1,0,10.76249144421629
10019,0,0,0,5.9575633127994525
10021,0,1,0,6.543463381245722
10022,2,0,0,13.25119780971937
10031,0,0,0,9.793292265571527
10035,0,1,0,2.625598904859685
10041,0,0,0,2.108145106091718
10044,0,0,0,6.784394250513347
10047,0,0,0,1.3661875427789185
10057,0,0,0,9.935660506502396
10058,0,0,0,3.137577002053388
10064,0,0,0,9.995893223819301
10067,0,0,0,3.2251882272416155
10073,0,0,0,4.39151266255989
10076,0,0,0,3.7125256673511293
10083,1,1,0,6.469541409993155
10096,1,0,0,0.2327173169062286
10100,0,0,0,5.7878165639972625
10103,0,0,0,3.0882956878850103
10106,0,0,0,9.96577686516085
10108,0,0,0,5.144421629021219
10115,0,1,0,2.973305954825462
10118,0,0,0,1.9000684462696784
10123,0,0,0,16.914442162902123
10125,2,1,0,14.532511978097194
10127,0,1,0,1.0677618069815196
10132,0,1,0,28.621492128678987
10134,0,0,0,5.456536618754278
10139,0,0,0,5.774127310061601
10140,0,0,0,3.1184120465434635
10148,0,0,0,9.177275838466803
10149,0,0,0,7.151266255989048
10151,0,0,0,0.1697467488021903
10153,0,0,0,4.216290212183436
10156,0,0,0,8.14236824093087
10159,0,1,0,9.541409993155373
10162,0,0,0,0.5859000684462696
10164,0,1,0,0.32306639288158795
10166,0,0,0,9.065023956194388
10172,0,1,0,4.9253935660506505
10173,0,0,1,6.581793292265571
10178,0,0,0,4.605065023956194
10180,0,0,0,1.995893223819302
75718,0,0,0,9.905544147843942
75726,0,1,0,5.314168377823409
75728,0,1,0,5.207392197125257
10197,0,0,0,1.054072553045859
75733,0,0,0,7.857631759069131
10202,0,0,0,8.402464065708418
10204,2,0,0,1.0622861054072552
75741,0,0,0,8.396988364134154
10205,0,0,0,5.130732375085558
